Year,Semester,Course_Number,English_Name,Section,Lecturer_Name,Lecturer_ID,Department,Day,Time,Room,Room_ID,Registered_Students,Room_Capacity,Online,Start_Time,End_Time,islab,Department_ID,Credit Hours
2022-2023,First Semester,12373,interactive 3d graphics,1,Dr. Yaser Saleh,14,Computer Graphics,Mon Wed,12:00-13:30,it301,12,21,40,no,12:00,13:30,False,12,3
2022-2023,First Semester,12442,game programming,1,Dr. Yaser Saleh,14,Computer Graphics,Sun Tue Thu,11:00-12:00,it301,12,22,40,no,11:00,12:00,False,12,3
2022-2023,First Semester,12446,digital image processing,1,Dr. Baha Khasawneh,16,Computer Graphics,Mon Wed,12:00-13:30,it301,12,22,40,no,12:00,13:30,False,12,3
2022-2023,First Semester,12446,digital image processing,2,Dr. Baha Khasawneh,16,Computer Graphics,Sun Tue Thu,15:00-16:00,it301,12,19,40,no,15:00,16:00,False,12,3
2022-2023,First Semester,12473,selected topics in computer graphics,1,Dr. Mohammad Alzoubi,39,Computer Graphics,Mon Wed,09:00-10:30,it301,12,24,40,no,09:00,10:30,False,12,3
2022-2023,First Semester,12479,advanced animation,1,Rosana Marar,41,Computer Graphics,Mon Wed,12:00-13:30,it302,13,10,26,no,12:00,13:30,False,12,3
2022-2023,First Semester,12481,virtual and augmented reality,1,Dr. Mohammad Alzoubi,39,Computer Graphics,Sun Tue Thu,12:00-13:00,it301,12,12,40,no,12:00,13:00,False,12,3
2022-2023,First Semester,13211,introduction to software engineering,1,Dr. Abdullah Al-Refai,8,Software Engineering,Sun Tue Thu,13:00-14:00,208,15,27,46,no,13:00,14:00,False,13,3
2022-2023,First Semester,13212,software construction,1,Dr. Firas Ghanim,43,Software Engineering,Sun Tue Thu,10:00-11:00,it106,16,23,44,no,10:00,11:00,False,13,3
2022-2023,First Semester,13324,system analysis and design,1,Dr. Rania Alzubaidi,6,Software Engineering,Mon Wed,10:30-12:00,208,15,25,46,no,10:30,12:00,False,13,3
2022-2023,First Semester,13325,software requirements analysis,1,Dr. Hazem Qattous,44,Software Engineering,Sun Tue Thu,11:00-12:00,it106,16,29,44,no,11:00,12:00,False,13,3
2022-2023,First Semester,13326,software engineering approaches to human computer interaction,1,Prof. Bassam Hammo,45,Software Engineering,Sun Tue Thu,11:00-12:00,it106,16,22,44,blended,11:00,12:00,False,13,3
2022-2023,First Semester,13327,sotware design and architecture,1,Dr. Hazem Qattous,44,Software Engineering,Mon Wed,09:00-10:30,it106,16,30,44,no,09:00,10:30,False,13,3
2022-2023,First Semester,13334,mobile application development,1,Abedalrhman Alkhateeb,46,Software Engineering,Mon Wed,12:00-13:30,it106,16,21,44,no,12:00,13:30,False,13,3
2022-2023,First Semester,13334,mobile application development,2,Abedalrhman Alkhateeb,46,Software Engineering,Mon Wed,10:30-12:00,it106,16,22,44,no,10:30,12:00,False,13,3
2022-2023,First Semester,13335,server side programming,1,Abedalrhman Alkhateeb,46,Software Engineering,Sun Tue,10:00-11:00,it106,16,15,44,blended,10:00,11:00,False,13,3
2022-2023,First Semester,13393,special topic in software engineering (1),1,Dr. Abdullah Al-Refai,8,Software Engineering,Mon Wed,13:30-15:00,it103,17,21,40,no,13:30,15:00,False,13,3
2022-2023,First Semester,13428,software quality assurance and testing,1,Prof. Abdallah Qusef,47,Software Engineering,Mon Wed,10:30-12:00,208,15,21,46,no,10:30,12:00,False,13,3
2022-2023,First Semester,13432,software project management,1,Prof. Abdallah Qusef,47,Software Engineering,Sun Tue Thu,12:00-13:00,208,15,31,46,no,12:00,13:00,False,13,3
2022-2023,First Semester,13434,secure software development,1,Dr. Ahmad Altamimi,13,Software Engineering,Sun Tue Thu,13:00-14:00,it106,16,12,44,no,13:00,14:00,False,13,3
2022-2023,First Semester,13435,database management system,1,Prof. Bassam Hammo,45,Software Engineering,Wed,12:00-13:30,203,6,13,46,blended,12:00,13:30,False,13,3
2022-2023,First Semester,13477,software engineering,1,Dr. Ammar Odeh,4,Computer Science,Wed,10:30-12:00,203,6,19,46,no,10:30,12:00,False,1113,3
